ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
42,"Wood, Furniture & Paper Manufacturing",Puglia,S4,0.564285714,S2,0.785714286,S3,0.642857143,S5,0.357142857,A,AA,A,74893.285,71353.861,66414.639,51857.267,45181.264,43048.341,62964.507,60298.227,58273.984,9236.039,8432.918,5706.599,25325.702,21131.034,21131.034,4210.544,3198.031,5819.37,3266.28,2624.244,4403.322,8253.13,6742.022,6749.926
43,Transport Manufacturing,Puglia,S4,0.542857143,S2,0.785714286,S6,0.214285714,S4,0.5,BBB,BBB,BBB,19927.758,16809.672,13486.15,15719.792,14050.372,10042.712,7924.258,7269.03,6597.903,8046.849,5793.394,3720.815,22980.045,17437.489,17437.489,986.366,832.143,1333.753,828.379,671.126,1220.304,1968.661,1724.16,1584.933
44,"Chemicals, Petroleum, Rubber & Plastic",Puglia,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,B,BB,B,20869.245,20109.766,20013.343,9154.707,8647.836,7867.479,3794.318,3704.998,3789.56,9431.202,7669.562,8711.194,16000.852,14271.888,14271.888,441.231,517.577,633.797,89.321,165.439,53.68,954.846,1417.369,1652.65
45,Textiles & Clothing Manufacturing,Puglia,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,0,CCC,CC,n.a.,18969,16325.904,n.a.,10597,9518.86,n.a.,3932,4808.115,n.a.,5206,3388,n.a.,10494,10494,n.a.,-936,-2002.82,n.a.,-887,-1916.019,n.a.,-457,-1959.359
46,Computer Hardware,Puglia,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,CCC,BB,BBB,22379.414,19896.679,8643.414,18853.197,17190.017,7059.888,4696.963,7519.565,2619.534,10735.015,4838.653,2649.478,13683.115,10157.536,10157.536,-628.889,819.995,1117.087,-829.486,597.947,848.98,740.974,1425.541,1356.058
47,"Industrial, Electric & Electronic Machinery",Puglia,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,0,BB,AA,n.a.,14332.277,11465.746,n.a.,8366.513,7095.815,n.a.,1596.993,6088.366,n.a.,4842.547,3828.383,n.a.,9812.984,9812.984,n.a.,606.71,2604.762,n.a.,278.987,1977.103,n.a.,904.62,2903.098
48,"Industrial, Electric & Electronic Machinery",Puglia,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,A,AA,AA,10819.764,9741.033,7999.029,5294.561,4865.608,4499.49,6174.103,5498.761,4564.639,3682.421,3411.73,2531.538,8264.166,9167.145,9167.145,959.069,1281.922,1463.452,675.345,934.12,998.147,1728.992,1938.662,1702.283
49,Transport Manufacturing,Puglia,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,BBB,BBB,A,18524.519,16671.996,14239.092,6102.612,5876.866,5643.509,9371.713,8945.239,8378.025,4526.604,3727.251,2967.335,8070.748,6760.143,6760.143,503.677,666.234,775.577,426.477,567.211,695.818,2302.184,1893.248,2066.284
50,"Industrial, Electric & Electronic Machinery",Puglia,S2,0.864285714,S1,0.928571429,S1,0.928571429,S2,0.785714286,B,CC,B,789.853,874.236,1931.592,747.421,821.45,1849.411,21.536,-197.609,67.302,260.312,203.366,1466.055,1238.52,1527.317,1527.317,39.743,-248.859,6.257,3.654,-264.912,5.111,60.339,-217.736,n.a.
51,Wholesale,Puglia,S4,0.578571429,S3,0.642857143,S3,0.642857143,S4,0.5,CCC,CCC,CC,3130.448,2495.976,2825.94,2143.487,1708.333,2018.264,-60.747,-90.271,-92.214,2496.489,1865.707,2094.77,8507.138,8628.405,8628.405,124.222,81.086,-150.744,29.524,1.942,-236.429,203.228,159.276,-77.724
