ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
1635,Business Services,Calabria,S3,0.65,S1,0.928571429,S4,0.5,S4,0.5,BB,A,A,5910.241,4145.698,3399.943,5213.611,3502.9,2759.22,606.111,1179.14,880.034,4074.605,2815.667,2385.372,6497.597,6996,6996,768.041,1459.666,1066.602,480.508,1053.536,754.431,915.171,1603.661,1226.151
1636,Business Services,Calabria,S3,0.723214286,S3,0.642857143,,,S2,0.785714286,0,BBB,BBB,n.a.,10362.846,8103.617,n.a.,3188.408,2902.219,n.a.,6944.223,4501.203,n.a.,1210.541,1083.009,n.a.,3052.261,3052.261,n.a.,140.744,196.15,n.a.,56.065,147.147,n.a.,984.863,789.394
1637,Business Services,Calabria,S4,0.535714286,S4,0.5,S5,0.357142857,S3,0.642857143,BB,BBB,BBB,2256.707,1930.449,1260.104,1241.66,1379.967,890.48,627.288,507.726,206.223,893.225,1103.215,715.902,2571.268,2726.04,2726.04,195.856,443.835,299.824,119.559,279.007,200.697,264.214,502.402,338.772
1638,"Transport, Freight & Storage",Calabria,S3,0.742857143,S1,0.928571429,S3,0.642857143,S3,0.642857143,B,B,BB,15393.776,18639.804,14542.211,8446.433,11459.643,10300.914,1652.457,1631.487,1382.933,5663.832,8399.411,6933.962,17368.406,17252.206,17252.206,302.726,585.225,391.688,20.968,248.556,155.857,1841.573,1765.534,2411.786
1639,"Transport, Freight & Storage",Calabria,S4,0.528571429,S4,0.5,S3,0.642857143,S4,0.5,B,B,CC,9961.76,7960.572,5853.705,8073.389,7074.714,4963.828,1241.813,937.734,649.942,6417.942,5325.38,3321.697,13597.857,11937.708,11937.708,561.999,652.12,-158.997,304.079,287.795,-279.432,755.886,796.036,-6.054
1640,"Transport, Freight & Storage",Calabria,S4,0.621428571,S4,0.5,S2,0.785714286,S3,0.642857143,B,BB,A,6059.72,4890.903,3298.791,3410.548,2282.149,1636.162,1062.811,1143.454,913.159,2088.802,1478.743,1370.562,6642.795,6000.3,6000.3,-5.954,297.498,376.907,-20.646,280.295,349.806,299.197,542.957,504.772
1641,"Transport, Freight & Storage",Calabria,S5,0.442857143,S4,0.5,S6,0.214285714,S4,0.5,B,BB,BB,4439.808,4040.485,3603.307,3305.482,2992.757,2569.388,406.551,397.735,394.423,2461.122,2602.414,1667.941,6431.758,5347.403,5347.403,48.535,92.113,39.402,8.818,28.445,6.008,n.a.,n.a.,n.a.
1642,"Transport, Freight & Storage",Calabria,S4,0.528571429,S4,0.5,S3,0.642857143,S4,0.5,0,B,CCC,n.a.,3279.242,2559.418,n.a.,2198.702,1660.947,n.a.,53.85,49.192,n.a.,2484.535,2096.418,n.a.,5223.179,5223.179,n.a.,38.639,21.517,n.a.,4.658,1.051,n.a.,258.643,67.302
1643,Wholesale,Calabria,S5,0.392857143,S5,0.357142857,S6,0.214285714,S4,0.5,BB,BBB,BBB,9796.156,4911.35,5378.372,9055.865,4822.42,5315.092,2461.79,1940.248,1499.644,4903.675,1647.507,3112.956,34142.441,26899.744,26899.744,683.102,662.286,497.353,521.545,440.602,384.97,729.687,686.687,520.882
1644,Retail,Calabria,S5,0.392857143,S5,0.357142857,S6,0.214285714,S4,0.5,B,BB,BB,19570.032,12256.081,6676.812,13734.92,8623.399,3805.307,1233.342,1057.524,459.507,12305.673,8248.17,3332.786,45305.267,31142.993,31142.993,537.202,751.043,399.483,175.819,575.516,225.834,n.a.,1031.266,644.762
1645,Wholesale,Calabria,S6,0.3,S5,0.357142857,S7,0.071428571,S5,0.357142857,BBB,BBB,BB,7183.018,5770.632,4859.048,7045.222,5632.836,4856.644,2204.654,1080.683,653.593,3044.145,3913.679,3403.744,20564.326,17625.921,17625.921,1423.831,630.361,233.544,1123.987,478.698,115.955,n.a.,n.a.,233.79
1646,Wholesale,Calabria,S5,0.45,S5,0.357142857,S4,0.5,S4,0.5,BB,BB,BB,20191.181,20787.959,19777.008,16261.476,16728.444,15549.207,6131.883,7007.03,6883.235,8893.885,9627.059,10166.641,11339.618,10258.624,10258.624,573.477,527.337,399.657,165.899,123.796,48.529,732.856,695.593,524.275
1647,Retail,Calabria,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,0,BB,B,n.a.,2327.15,2519.569,n.a.,1618.149,1705.076,n.a.,307.262,254.944,n.a.,1878.645,2109.338,n.a.,5955.618,5955.618,n.a.,115.82,75.366,n.a.,47.689,26.602,n.a.,248.547,203.192
1648,Biotechnology and Life Sciences,Calabria,S3,0.642857143,S3,0.642857143,,,S3,0.642857143,0,0,CCC,n.a.,n.a.,244.622,n.a.,n.a.,75.034,n.a.,n.a.,157.973,n.a.,n.a.,76.702,n.a.,n.a.,n.a.,n.a.,n.a.,-46.837,n.a.,n.a.,-36.216,n.a.,n.a.,n.a.
1649,"Public Administration, Education, Health Social Services",Calabria,S3,0.678571429,S1,0.928571429,S3,0.642857143,S4,0.5,0,B,BB,n.a.,14190.824,5328.183,n.a.,13758.515,5249.298,n.a.,652.298,397.887,n.a.,4387.933,4225.735,n.a.,14964.773,14964.773,n.a.,840.308,862.986,n.a.,254.415,389.537,n.a.,879.548,875.1
1650,"Public Administration, Education, Health Social Services",Calabria,S3,0.642857143,S3,0.642857143,S3,0.642857143,S3,0.642857143,0,AA,A,n.a.,18453.913,18223.958,n.a.,16099.672,15537.021,n.a.,12563.758,11527.485,n.a.,4859.923,5408.101,n.a.,8710.723,8710.723,n.a.,1325.591,684.981,n.a.,1036.275,547.766,n.a.,1865.488,1244.891
1651,"Public Administration, Education, Health Social Services",Calabria,S3,0.714285714,S1,0.928571429,S4,0.5,S3,0.642857143,BB,BB,BB,6975.897,6767.291,5891.469,4283.4,4169.575,3925.12,2250.22,2130.93,1955.952,1955.358,1560.483,2062.122,4801.211,4363.702,4363.702,298.013,340.702,268.217,119.291,124.977,117.101,330.606,416.174,338.877
1652,"Public Administration, Education, Health Social Services",Calabria,S4,0.6,S4,0.5,S5,0.357142857,S2,0.785714286,BB,BB,BB,11806.81,12925.243,12830.912,1422.276,1595.403,1623.97,5733.13,5911.765,5971.654,1651.153,3356.319,3050.466,3030.416,3366.402,3366.402,258.166,288.419,159.317,121.366,190.111,81.011,566.973,597.5,471.278
1653,Business Services,Calabria,S4,0.628571429,S1,0.928571429,S7,0.071428571,S3,0.642857143,BB,BB,BB,1449.079,1472.137,1531.756,496.941,494.415,423.433,1149.147,1152.79,1211.195,44.22,51.635,52.856,98.712,90.392,90.392,-7.838,-63.158,-8.683,-3.644,-58.405,-11.197,19.756,-35.564,22.021
1654,Business Services,Calabria,S3,0.642857143,S3,0.642857143,,,,,CCC,CCC,B,226.751,228.114,193.192,218.079,219.358,179.352,26.703,28.063,33.192,0.048,0.051,0,0.012,0.01,0.01,-0.844,-1.028,-0.951,-1.36,-5.129,-1.518,-0.76,-0.944,-0.867
1655,Business Services,Veneto,S4,0.538961039,S3,0.642857143,S5,0.357142857,,,BBB,AA,AA,18941.203,9491.111,9128.547,7334.303,8103.012,7285.616,6795.881,6125.018,5846.437,4214.391,2684.437,2489.168,15398.742,12572.272,12572.272,771.766,306.344,938.36,680.111,306.578,938.353,1602.179,979.907,1638.722
1656,"Agriculture, Horticulture & Livestock",Veneto,S5,0.464285714,S3,0.642857143,S7,0.071428571,S4,0.5,BB,B,0,2121.592,752.745,n.a.,2021.53,751.087,n.a.,69.563,19.246,n.a.,2030.623,733.499,n.a.,6619.852,1190.813,1190.813,71.589,12.631,n.a.,50.316,9.245,n.a.,79.84,13.642,n.a.
1657,"Agriculture, Horticulture & Livestock",Veneto,S4,0.557142857,S3,0.642857143,S6,0.214285714,S3,0.642857143,BBB,BB,AA,3143.414,2954.654,2379.591,2533.948,2310.166,1804.347,1239.983,1234.584,1229.779,1173.001,809.781,827.26,3591.543,3105.315,3105.315,70.434,30.305,334.695,5.4,4.804,306.629,144.225,85.794,366.085
1658,"Agriculture, Horticulture & Livestock",Veneto,S7,0.123376623,S7,0.071428571,S6,0.214285714,,,0,B,BB,n.a.,1345.565,851.501,n.a.,904.409,737.317,n.a.,214.817,195.68,n.a.,809.565,654.279,n.a.,1631.653,1631.653,n.a.,37.998,27.782,n.a.,19.136,20.511,n.a.,79.73,58.613
1659,Metals & Metal Products,Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,AA,A,B,1525589,1302052.255,954888.683,901487,789140.1,459246.915,807773,540009.838,363914.157,544759,571106.556,395661.118,2326684,1901052.755,1901052.755,353896,213221.799,-9898.707,283389,160539.321,-21420.95,420233,271659.447,30399.123
1660,Food & Tobacco Manufacturing,Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,BBB,BBB,BBB,810797.119,704311.353,457338.396,522717.515,410526.467,283226.764,327243.555,307447.885,177701.866,359277.696,247560.362,160379.809,1405821.288,1026562.163,1026562.163,40390.919,11510.925,18722.286,48939.875,37468.203,15414.554,66637.712,28474.787,39976.833
1661,Food & Tobacco Manufacturing,Veneto,S4,0.621428571,S2,0.785714286,S1,0.928571429,S5,0.357142857,BB,BB,BB,1203104.983,1067885.582,908562.105,498065.647,450905.869,379268.356,288891.119,237793.55,205036.88,480591.326,405811.791,356537.311,1230505.332,997766.184,997766.184,26085.614,43880.286,70385.602,21083.735,30352.117,47675.687,78026.236,88529.967,105815.336
1662,"Wood, Furniture & Paper Manufacturing",Veneto,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,B,B,BB,1360858.824,1436460.125,1206023.461,579667.025,625283.219,411654.498,486264.989,463875.922,466577.066,331780.804,424185.866,277285.335,825645.233,752060.499,752060.499,36326.952,19744.203,36767.082,11607.024,-2708.125,18353.169,110046.306,84771.678,73099.057
1663,"Wood, Furniture & Paper Manufacturing",Veneto,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,CCC,CCC,CCC,1536536.983,1308756.704,1311132.303,469276.074,417410.229,404499.68,136548.721,117108.521,124862.241,1262820.133,411476.68,345790.592,778513.329,588825.803,588825.803,11294.284,9288.812,3264.182,17752.471,-11336.372,-55428.652,49428.55,40035.728,27700.988
1664,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.728571429,S2,0.785714286,S4,0.5,S2,0.785714286,BBB,BBB,BBB,640464,507796,414145,330172,270144,232468,221247,169875,159621,199747,166449,121175,552529,426919,426919,87901,64463,46852,62124,49059,35112,112279,85305,65167
1665,Food & Tobacco Manufacturing,Veneto,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,BB,BB,BB,380486.428,386014.004,355141.279,91230.347,104734.757,111406.861,153635.451,146779.27,103182.229,129366.503,144112.216,121299,549538.796,481180.038,481180.038,7539.743,17519.144,7448.328,10223.697,9072.685,6114.835,36612.074,43685.06,32967.303
1666,Food & Tobacco Manufacturing,Veneto,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,BB,BB,B,484700,469676,526189,274870,258732,312213,177217,169261,159080,182918,168669,198890,482918,442184,442184,10238,6143,1797,5540,8505,1142,23705,19268,15075
1667,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,BB,BB,BB,309859,335925,270705,161685,189019,132046,98200,108247,82483,154900,179903,147167,505893,474160,474160,11920,35233,11324,6695,27663,6544,29978,50970,24882
1668,"Industrial, Electric & Electronic Machinery",Veneto,S4,0.628571429,S2,0.785714286,S3,0.642857143,S4,0.5,BBB,A,A,655458.664,623233.406,523646.9,433197.643,405461.846,305403.136,306662.633,310168.23,291674.282,230529.627,208463.745,155635.441,516554.983,465200.21,465200.21,29867.725,53583.859,57716.685,19624.317,38887.297,45156.527,62250.282,82673.05,76114.979
1669,Food & Tobacco Manufacturing,Veneto,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,BB,BB,AA,405411.593,427645.442,236999.89,171144.948,167820.506,163264.696,158503.185,162860.389,146767.219,104605.524,129315.675,76255.158,289286.033,291064.371,291064.371,5338.034,16409.381,34714.777,-7319.289,2067.725,25575.845,35572.337,46206.463,38206.474
1670,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S4,0.62987013,S2,0.785714286,S5,0.357142857,,,BBB,BBB,BBB,247288.656,242520.888,192479.036,158174.49,157445.607,107657.136,133494.555,129318.353,119969.038,77003.186,85114.119,45446.722,251259.336,265240.147,265240.147,5552.407,16126.885,13779.792,5506.235,9223.553,7217.877,13424.27,24742.792,19686.349
1671,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,A,A,A,159983.301,155586.145,126896.573,139053.606,137460.324,107935.115,81684.372,71668.472,61719.384,60481.574,70803.612,49322.77,254996.675,237604.267,237604.267,15804.492,15748.582,8805.003,11673.317,11684.501,6614.577,18826.687,19340.656,11513.781
1672,Metals & Metal Products,Veneto,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,BBB,BB,BB,492815.224,457745.777,421724.887,230068.522,196922.174,167498.345,245998.103,229354.852,219117.357,103733.491,78500.487,42884.843,234730.818,169795.66,169795.66,6771.118,329.942,11447.603,15934.783,2756.354,-1592.022,30565.46,25400.509,32963.817
1673,Food & Tobacco Manufacturing,Veneto,S3,0.681818182,S2,0.785714286,S4,0.5,,,CCC,CCC,B,229031,180395,161544.226,41796,45522,36870.063,86499,56334,62665.91,95895,80436,55078.501,94486,75392,75392,-2770,298,983.718,-3875,-1362,233.148,6506,8559,13064.453
1674,"Wood, Furniture & Paper Manufacturing",Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,AA,AA,AA,144141.8,134215.643,115705.87,122341.338,115502.383,94909.308,89114.132,83062.437,70378.374,52338.486,49179.952,41435.902,240275.525,209720.993,209720.993,18866.061,26863.53,16235.444,15006.374,20666.43,13363.22,23904.414,32153.751,21674.667
1675,Textiles & Clothing Manufacturing,Veneto,S4,0.542857143,S2,0.785714286,S6,0.214285714,S4,0.5,BBB,A,BBB,249108.238,200711.925,158852.371,205474.365,155173.97,109756.87,120256.326,95575.79,71096.369,80364.538,51686.194,31468.822,260407.392,185747.125,185747.125,31204.744,30163.986,10620.589,25984.144,23946.872,7228.031,36720.57,37198.312,14187.124
1676,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,A,BBB,BBB,167763.658,162483.12,170289.111,113406.28,105991.755,100975.06,90902.195,84522.94,87237.271,60449.307,55303.904,58932.21,214560.474,189543.851,189543.851,9284.761,4224.838,5820.08,6021.118,4347.506,5278.671,14966.017,10963.719,13007.645
1677,Metals & Metal Products,Veneto,S2,0.814285714,S2,0.785714286,S1,0.928571429,S2,0.785714286,BB,BB,CCC,149064.07,123524.839,105937.4,96314.21,71498.276,52796.906,50278.705,46133.536,44014.651,66254.273,48359.737,40240.084,188155.441,133927.163,133927.163,6787.5,3782.848,-7336.807,2880.961,2033.125,-6583.499,8373.103,4679.905,-6941.224
1678,Food & Tobacco Manufacturing,Veneto,S6,0.266233766,S6,0.214285714,S5,0.357142857,,,B,B,B,175154.939,117627.721,103228.415,126442.201,70594.977,67131.787,22753.545,19251.201,14688.171,134825.931,76911.982,78161.31,181134.56,121394.953,121394.953,4106.39,4384.791,4048.322,3015.668,3742.499,2536.582,9070.172,8486.295,7918.714
1679,Textiles & Clothing Manufacturing,Veneto,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,BB,BB,CCC,171596,182105,183375,129670,144334,144487,53785,50353,45419,91043,97641,74762,180500,173250,173250,3681,4632,-3774,3293,3677,-3091,8677,10389,1869
1680,Metals & Metal Products,Veneto,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,A,BBB,A,107671.456,95247.464,74628.505,93643.54,82673.157,61914.901,41623.283,30382.005,28624.663,46798.136,52321.644,35156.577,164843.171,131133.874,131133.874,20201.017,6353.919,5382.809,14241.277,4357.343,3750.125,22210.544,8381.177,6745.562
1681,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,BBB,BBB,BBB,124866.628,125786.338,101159.685,64813.052,72691.759,50271.241,66392.288,59416.839,52429.572,39299.756,44814.692,29352.968,165761.814,144403.982,144403.982,11819.446,8680.392,7592.87,9553.005,6533.434,5580.636,17568.742,13918.173,11610.926
1682,Food & Tobacco Manufacturing,Veneto,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,AA,A,A,113587.918,94387.91,83078.81,64608.088,48638.499,37080.52,68019.818,59371.707,53274.682,43745.314,33246.498,28061.294,151052.257,108430.876,108430.876,10327.994,7899.672,6632.917,8648.111,6097.024,4882.261,12506.527,10228.481,8874.168
1683,0,Veneto,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,0,BB,BB,n.a.,191835,176356,n.a.,142473,129763,n.a.,35733,23831,n.a.,85510,79528,n.a.,146606,146606,n.a.,23553,25492,n.a.,5356,24753,n.a.,39835,39284
1684,Metals & Metal Products,Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BBB,BBB,BBB,162856,134903,142501,108715,83578,86828,74122,70981,87558,59325,44193,30901,170388,144600,144600,13002,7934,8599,8032,9546,5225,21358,16230,14538
1685,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,B,BBB,B,236738,296703,225812,132218,174720,90730,114638,145747,66113,80716,80429,79481,143829,132477,132477,-11715,-7822,-578,-31001,77618,-3660,4597,9041,12033
1686,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,BB,BB,BB,172137.028,156932.977,133577.504,125121.989,109771.882,88035.629,48503.793,46061.852,40947.836,96841.56,61876.545,54486.258,143747.915,127157.599,127157.599,4221.031,8008.173,3589.666,2441.938,5114.019,1610.254,10494.816,13497.766,7985.682
1687,Textiles & Clothing Manufacturing,Veneto,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,BB,BB,BB,116017.517,107451.663,92913.391,104315.518,94842.839,78491.29,33640.842,30295.178,26989.132,71801.19,65684.572,51981.51,170018.845,137448.838,137448.838,4533.057,4167.312,3014.203,3339.253,3304.791,1626.566,9853.175,9270.411,6662.877
1688,Mining & Extraction,Veneto,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,A,AA,AA,91878.752,76849.23,58208.159,64739.69,52909.328,34550.375,59289.812,51658.604,42684.399,18692.069,14708.908,9434.094,127124.686,136144.85,136144.85,12863.923,15200.641,10131.256,11485.092,11555.315,7265.157,15339.582,17376.219,11725.568
1689,Computer Hardware,Veneto,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,BB,BB,BB,149762.249,123701.948,100482.238,84975.516,67519.796,49971.979,45771.856,37888.984,34216.409,69719.389,52005.894,40386.909,152528.243,136104.545,136104.545,2694.519,3548.096,3015.738,2760.491,2166.709,2282.71,7883.651,8480.664,7106.266
1690,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,BB,BBB,BBB,173809,149829.343,135261.941,98464,84437.165,74415.295,60491,54340.033,46635.928,60613,49031.894,51753.564,153724,130643.648,130643.648,11156,12863.859,13524.086,7534,9930.637,9916.908,18314,18897.933,19588.223
1691,Metals & Metal Products,Veneto,S4,0.525974026,S2,0.785714286,S7,0.071428571,,,BB,BB,B,135822.44,125873.627,82274.29,61212.696,48182.613,38989.985,56123.195,53104.681,27438.201,58878.388,51077.981,30823.436,126099.435,103327.926,103327.926,-2161.812,976.871,-1619.764,2113.121,164.962,-1321.873,4385.409,7627.475,3596.493
1692,Metals & Metal Products,Veneto,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,A,A,BBB,58954.817,68789.095,56226.538,37384.994,47070.591,35814.937,39237.623,34247.429,27159.732,11104.852,23794.211,14807.844,53130.112,57059.414,57059.414,8015.518,9337.863,5269.94,5990.449,6950.85,3473.346,9719.922,10868.634,6523.348
1693,Food & Tobacco Manufacturing,Veneto,S3,0.728571429,S2,0.785714286,S4,0.5,S2,0.785714286,CCC,B,B,117856.857,114874.421,103718.345,49013.172,51509.919,41694.002,19900.748,18967.713,19526.748,64248.56,57954.152,54420.836,134029.981,123754.266,123754.266,-502.339,2237.116,2442.834,-2104.515,-251.928,771.029,4507.152,7229.917,7129.792
1694,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,BBB,BBB,BBB,186892,170045,161795,69102,61183,57063,100819,86143,82617,39929,38430,25535,124779,98973,98973,20228,17385,5608,12382,2472,12461,25932,22508,13534
1695,Food & Tobacco Manufacturing,Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,BB,BBB,BBB,212281.308,190548.505,197957.682,95164.373,98694.44,107142.137,98048.247,96553.521,94033.22,65089.314,49904.74,63830.106,120915.736,116074.302,116074.302,2165.927,8393.857,12508.308,702.879,5262.388,9922.342,8570.408,14373.529,16401.304
1696,Food & Tobacco Manufacturing,Veneto,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,AA,AA,AA,118559.945,117692.961,121710.087,49864.848,51700.014,50988.702,87865.875,89658.834,90985.553,24865.721,26095.494,25895.829,121906.05,109423.419,109423.419,7314.334,13994.781,23309.703,6204.73,12465.3,17508.604,15296.077,22024.073,29730.211
1697,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BBB,A,BBB,102664.48,99167.875,97776.742,73294.661,68357.4,67519.31,58174.296,55384.934,50456.162,33451.529,32075.007,32389.469,113645.917,109741.068,109741.068,3211.027,6905.571,4859.89,3951.684,5747.614,3535.397,7887.179,11501.064,7778.539
1698,Miscellaneous Manufacturing,Veneto,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,BB,BB,BBB,35556.088,28741.27,19057.812,30692.267,23646.244,13820.492,12449.904,11407.525,10895.619,10276.453,4873.024,6553.849,111330.944,98779.156,98779.156,1232.095,496.949,1307.231,811.97,528.567,150.113,1964.654,1489.026,1605.911
1699,Metals & Metal Products,Veneto,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,BBB,BBB,BB,66127.639,68451.655,51983.448,46907.708,49524.745,30815.468,22157.991,17998.981,13094.366,35155.972,36917.52,22226.133,110135.261,95886.183,95886.183,4479.903,6083.742,1233.037,4157.446,4902.086,1644.274,10149.342,11235.363,5001.124
1700,Metals & Metal Products,Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BB,BB,B,126287.533,109864.231,100027.705,84659.705,70097.646,58405.089,34064.28,29482.903,27127.682,63690.494,46920.717,45585.498,148905.063,101431.741,101431.741,6663.738,3491.625,2297.51,4652.375,2168.956,1639.777,11766.561,8449.737,6598.652
1701,"Industrial, Electric & Electronic Machinery",Veneto,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,A,A,AA,86042.891,76078.072,73635.641,66756.279,55809.289,53912.846,33765.949,28777.94,38190.318,39890.579,32025.617,22829.149,109135.49,94270.315,94270.315,15152.512,13825.649,12882.318,11324.788,10587.622,10065.315,17249.973,15671.702,14274.017
1702,Metals & Metal Products,Veneto,S2,0.878571429,S2,0.785714286,S1,0.928571429,S1,0.928571429,BBB,CCC,CCC,75339,188762,223404,42760,75275,95065,38259,42567,64102,25781,85316,85012,94122,232494,232494,7902,-10842,-8350,-3801,-22127,-14400,13708,12313,16492
1703,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BBB,BB,BB,132950.523,131893.385,126382.375,65789.457,59999.413,52499.705,56813.126,54401.725,53400.023,39216.132,34549.948,24913.74,110667.805,90981.817,90981.817,5924.087,3735.403,4061.142,2061.915,629.872,466.727,15335.371,11632.814,12091.549
1704,"Leather, Stone, Clay & Glass products",Veneto,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,BB,BB,0,82295.066,64472.444,n.a.,53929.922,46529.911,n.a.,18567.23,15458.231,n.a.,40416.383,39674.809,n.a.,89058.802,74212.375,74212.375,3449.21,5254.782,n.a.,3012.338,3661.086,n.a.,7928.915,8670.452,n.a.
1705,Metals & Metal Products,Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,BB,BB,CCC,43753.434,40735.149,39112.42,21409.265,19234.487,17366.898,15181.093,12974.341,11189.972,15125.487,13964.286,13222.955,38976.578,33892.162,33892.162,2293.895,1586.156,-703.939,1672.415,1732.896,-1207.223,3486.26,2739.08,362.225
1706,Food & Tobacco Manufacturing,Veneto,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,CCC,BB,BB,84245.607,86086.436,87651.415,51704.384,51787.564,58079.821,20390.166,21668.311,19538.685,34336.154,31238.91,46067.833,79877.509,81138.382,81138.382,-281.022,1987.509,4701.908,-1111.626,1221.424,2185.782,3671.072,5672.38,10162.121
1707,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,AA,A,AA,118810.091,103730.838,107482.438,69388.296,51768.214,52906.459,95873.538,88195.621,93316.787,10190.147,12384.388,7640.757,87231.925,79027.045,79027.045,9264.688,4941.706,9521.597,7677.917,4040.951,7338.009,17155.835,11940.455,13140.439
1708,Food & Tobacco Manufacturing,Veneto,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,BBB,BBB,BBB,211631,202826,180849,81482,78504,65545,138837,135378,128624,25757,26399,17968,78485,69270,69270,8784,8642,1304,4421,5399,883,13247,12931,5451
1709,"Industrial, Electric & Electronic Machinery",Veneto,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,BB,BB,B,65104.782,53759.39,47686.597,33955.948,25791.75,21804.083,16585.03,15859.193,15054.334,34854.546,24092.533,21297.535,77756.225,61314.199,61314.199,1788.005,1728.768,901.743,789.147,876.715,-129.574,4670.385,4359.624,3130.455
1710,"Chemicals, Petroleum, Rubber & Plastic",Veneto,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BBB,A,BBB,61008.809,56484.377,59059.127,41876.104,38263.325,42795.969,32543.812,29666.46,26206.491,16712.577,18582.654,21418.27,73925.986,66680.491,66680.491,3354.766,4372.647,4896.268,2862.66,3454.789,3749.114,6416.84,7110.998,7397.752
1711,"Industrial, Electric & Electronic Machinery",Veneto,S4,0.578571429,S2,0.785714286,S7,0.071428571,S3,0.642857143,A,A,A,72279.411,67055.401,55692.652,47385.183,42253.833,31648.164,35635.391,34260.91,30516.395,26389.646,22786.545,17596.305,66668.615,57537.93,57537.93,5546.837,4837.762,4272.188,4092.636,3736.898,3328.495,7901.696,7081.586,5611.173
